0	<http://rdf.freebase.com/ns/film.film.prequel>
1	<http://rdf.freebase.com/ns/film.film.starring>|<http://rdf.freebase.com/ns/film.performance.actor>
2	<http://rdf.freebase.com/ns/film.film.written_by>
3	<http://rdf.freebase.com/ns/film.film.language>
4	<http://rdf.freebase.com/ns/film.film.distributors>|<http://rdf.freebase.com/ns/film.film_film_distributor_relationship.distributor>
5	<http://rdf.freebase.com/ns/film.film.runtime>|<http://rdf.freebase.com/ns/film.film_cut.film_release_region>
6	<http://rdf.freebase.com/ns/film.film.subjects>
7	<http://rdf.freebase.com/ns/film.film.film_art_direction_by>
8	<http://rdf.freebase.com/ns/film.film.film_collections>
9	<http://rdf.freebase.com/ns/film.film.other_film_companies>|<http://rdf.freebase.com/ns/film.film_film_company_relationship.film_company>
10	<http://rdf.freebase.com/ns/film.film.dubbing_performances>|<http://rdf.freebase.com/ns/film.dubbing_performance.actor>
11	<http://rdf.freebase.com/ns/film.film.executive_produced_by>
12	<http://rdf.freebase.com/ns/film.film.personal_appearances>|<http://rdf.freebase.com/ns/film.personal_film_appearance.person>
13	<http://rdf.freebase.com/ns/film.film.starring>|<http://rdf.freebase.com/ns/film.performance.special_performance_type>
14	<http://rdf.freebase.com/ns/film.film.production_companies>
15	<http://rdf.freebase.com/ns/film.film.music>
16	<http://rdf.freebase.com/ns/film.film.film_series>
17	<http://rdf.freebase.com/ns/film.film.dubbing_performances>|<http://rdf.freebase.com/ns/film.dubbing_performance.character>
18	<http://rdf.freebase.com/ns/film.film.rating>
19	<http://rdf.freebase.com/ns/film.film.soundtrack>
20	<http://rdf.freebase.com/ns/film.film.film_format>
21	<http://rdf.freebase.com/ns/film.film.distributors>|<http://rdf.freebase.com/ns/film.film_film_distributor_relationship.region>
22	<http://rdf.freebase.com/ns/film.film.runtime>|<http://rdf.freebase.com/ns/film.film_cut.type_of_film_cut>
23	<http://rdf.freebase.com/ns/film.film.produced_by>
24	<http://rdf.freebase.com/ns/film.film.costume_design_by>
25	<http://rdf.freebase.com/ns/film.film.country>
26	<http://rdf.freebase.com/ns/film.film.distributors>|<http://rdf.freebase.com/ns/film.film_film_distributor_relationship.film_distribution_medium>
27	<http://rdf.freebase.com/ns/film.film.starring>|<http://rdf.freebase.com/ns/film.performance.character>
28	<http://rdf.freebase.com/ns/film.film.release_date_s>|<http://rdf.freebase.com/ns/film.film_regional_release_date.film_release_region>
29	<http://rdf.freebase.com/ns/film.film.other_crew>|<http://rdf.freebase.com/ns/film.film_crew_gig.film_crew_role>
30	<http://rdf.freebase.com/ns/film.film_festival_event.festival>
31	<http://rdf.freebase.com/ns/film.film.cinematography>
32	<http://rdf.freebase.com/ns/film.film.release_date_s>|<http://rdf.freebase.com/ns/film.film_regional_release_date.film_release_distribution_medium>
33	<http://rdf.freebase.com/ns/film.film.personal_appearances>|<http://rdf.freebase.com/ns/film.personal_film_appearance.type_of_appearance>
34	<http://rdf.freebase.com/ns/film.film.film_set_decoration_by>
35	<http://rdf.freebase.com/ns/film.film.dubbing_performances>|<http://rdf.freebase.com/ns/film.dubbing_performance.language>
36	<http://rdf.freebase.com/ns/film.film.film_festivals>
37	<http://rdf.freebase.com/ns/film.film.featured_song>
38	<http://rdf.freebase.com/ns/film.film.genre>
39	<http://rdf.freebase.com/ns/film.film.film_casting_director>
40	<http://rdf.freebase.com/ns/film.film.release_date_s>|<http://rdf.freebase.com/ns/film.film_regional_release_date.film_regional_debut_venue>
41	<http://rdf.freebase.com/ns/film.film.other_crew>|<http://rdf.freebase.com/ns/film.film_crew_gig.crewmember>
42	<http://rdf.freebase.com/ns/film.film.directed_by>
43	<http://rdf.freebase.com/ns/film.film.story_by>
44	<http://rdf.freebase.com/ns/film.film.film_production_design_by>
45	<http://rdf.freebase.com/ns/film.film.edited_by>
46	<http://rdf.freebase.com/ns/film.film.featured_film_locations>
